date,staff_available,staff_scheduled,shrinkage_pct
2023-05-02,82,86,0.115
2023-05-03,82,91,0.104
2023-05-04,81,94,0.175
2023-05-05,89,87,0.15
2023-05-06,35,41,0.129
2023-05-07,35,48,0.132
2023-05-08,81,86,0.179
2023-05-09,81,88,0.147
2023-05-10,84,93,0.177
2023-05-11,84,92,0.113
2023-05-12,89,92,0.125
2023-05-13,45,48,0.118
2023-05-14,45,41,0.188
2023-05-15,86,93,0.191
2023-05-16,90,93,0.142
2023-05-17,88,85,0.187
2023-05-18,89,92,0.187
2023-05-19,87,89,0.15
2023-05-20,38,46,0.189
2023-05-21,41,45,0.193
2023-05-22,86,88,0.191
2023-05-23,84,92,0.176
2023-05-24,84,86,0.174
2023-05-25,84,94,0.127
2023-05-26,81,87,0.169
2023-05-27,38,43,0.166
2023-05-28,39,46,0.12
2023-05-29,82,93,0.173
2023-05-30,81,94,0.142
2023-05-31,82,87,0.136
2023-06-01,85,88,0.146
2023-06-02,85,92,0.174
2023-06-03,42,44,0.11
2023-06-04,40,44,0.114
2023-06-05,83,88,0.162
2023-06-06,85,90,0.153
2023-06-07,90,93,0.139
2023-06-08,85,93,0.176
2023-06-09,83,90,0.109
2023-06-10,41,44,0.14
2023-06-11,45,46,0.179
2023-06-12,88,91,0.111
2023-06-13,84,87,0.114
2023-06-14,81,87,0.166
2023-06-15,86,94,0.195
2023-06-16,87,90,0.101
2023-06-17,35,40,0.105
2023-06-18,41,45,0.15
2023-06-19,83,94,0.196
2023-06-20,87,85,0.128
2023-06-21,81,94,0.104
2023-06-22,82,90,0.188
2023-06-23,90,92,0.141
2023-06-24,42,43,0.188
2023-06-25,39,46,0.158
2023-06-26,87,88,0.166
2023-06-27,84,88,0.103
2023-06-28,88,86,0.166
2023-06-29,85,86,0.196
2023-06-30,86,94,0.104
2023-07-01,43,44,0.104
2023-07-02,37,40,0.138
2023-07-03,83,94,0.166
2023-07-04,88,92,0.193
2023-07-05,86,94,0.14
2023-07-06,80,89,0.105
2023-07-07,80,88,0.143
2023-07-08,35,48,0.151
2023-07-09,40,40,0.162
2023-07-10,81,91,0.103
2023-07-11,85,91,0.125
2023-07-12,88,93,0.192
2023-07-13,81,89,0.173
2023-07-14,82,87,0.194
2023-07-15,37,47,0.121
2023-07-16,41,49,0.149
2023-07-17,88,90,0.124
2023-07-18,88,93,0.163
2023-07-19,89,90,0.119
2023-07-20,85,91,0.145
2023-07-21,83,92,0.16
2023-07-22,42,41,0.104
2023-07-23,41,40,0.181
2023-07-24,87,94,0.173
2023-07-25,83,87,0.169
2023-07-26,90,90,0.101
2023-07-27,82,94,0.174
2023-07-28,87,93,0.178
2023-07-29,35,49,0.198
2023-07-30,43,49,0.116
2023-07-31,87,91,0.156
2023-08-01,83,93,0.167
2023-08-02,87,89,0.176
2023-08-03,88,87,0.102
2023-08-04,88,91,0.188
2023-08-05,41,42,0.183
2023-08-06,39,46,0.1
2023-08-07,89,91,0.133
2023-08-08,87,89,0.194
2023-08-09,80,88,0.116
2023-08-10,89,87,0.154
2023-08-11,84,85,0.185
2023-08-12,37,44,0.185
2023-08-13,36,42,0.16
2023-08-14,84,93,0.132
2023-08-15,83,93,0.136
2023-08-16,89,85,0.19
2023-08-17,87,92,0.158
2023-08-18,85,93,0.125
2023-08-19,39,43,0.111
2023-08-20,39,49,0.117
2023-08-21,86,91,0.183
2023-08-22,81,94,0.143
2023-08-23,89,93,0.198
2023-08-24,84,90,0.159
2023-08-25,84,90,0.161
2023-08-26,45,41,0.115
2023-08-27,38,44,0.129
2023-08-28,83,94,0.108
2023-08-29,82,94,0.128
2023-08-30,88,86,0.192
2023-08-31,82,89,0.181
2023-09-01,83,86,0.113
2023-09-02,41,45,0.199
2023-09-03,39,40,0.19
2023-09-04,88,92,0.193
2023-09-05,80,90,0.116
2023-09-06,88,90,0.177
2023-09-07,85,90,0.117
2023-09-08,86,94,0.173
2023-09-09,38,47,0.191
2023-09-10,41,40,0.109
2023-09-11,89,93,0.168
2023-09-12,81,94,0.172
2023-09-13,89,91,0.147
2023-09-14,85,89,0.112
2023-09-15,85,87,0.172
2023-09-16,36,48,0.1
2023-09-17,38,44,0.17
2023-09-18,86,86,0.159
2023-09-19,87,86,0.139
2023-09-20,80,93,0.115
2023-09-21,90,85,0.109
2023-09-22,84,89,0.163
2023-09-23,41,48,0.162
2023-09-24,36,41,0.116
2023-09-25,83,88,0.186
2023-09-26,85,86,0.15
2023-09-27,86,93,0.191
2023-09-28,85,92,0.141
2023-09-29,90,85,0.145
2023-09-30,43,48,0.113
2023-10-01,36,43,0.175
2023-10-02,90,91,0.125
2023-10-03,81,85,0.16
2023-10-04,81,88,0.178
2023-10-05,82,87,0.183
2023-10-06,83,85,0.157
2023-10-07,39,42,0.156
2023-10-08,44,42,0.155
2023-10-09,88,89,0.176
2023-10-10,87,87,0.127
2023-10-11,82,88,0.121
2023-10-12,80,93,0.152
2023-10-13,80,86,0.157
2023-10-14,37,47,0.109
2023-10-15,37,45,0.175
2023-10-16,80,88,0.186
2023-10-17,80,92,0.168
2023-10-18,83,92,0.123
2023-10-19,86,87,0.162
2023-10-20,87,89,0.1
2023-10-21,44,46,0.121
2023-10-22,38,46,0.181
2023-10-23,88,86,0.103
2023-10-24,90,89,0.136
2023-10-25,88,87,0.18
2023-10-26,83,94,0.183
2023-10-27,81,88,0.193
2023-10-28,38,47,0.152
2023-10-29,35,43,0.121
2023-10-30,84,87,0.17
2023-10-31,81,89,0.171
2023-11-01,84,93,0.171
2023-11-02,90,92,0.129
2023-11-03,84,92,0.197
2023-11-04,43,41,0.179
2023-11-05,39,45,0.101
2023-11-06,87,94,0.158
2023-11-07,90,89,0.173
2023-11-08,87,89,0.162
2023-11-09,84,93,0.196
2023-11-10,89,91,0.152
2023-11-11,39,42,0.154
2023-11-12,37,48,0.176
2023-11-13,82,91,0.127
2023-11-14,89,92,0.194
2023-11-15,84,88,0.176
2023-11-16,87,92,0.14
2023-11-17,88,86,0.115
2023-11-18,37,46,0.142
2023-11-19,45,44,0.191
2023-11-20,87,88,0.18
2023-11-21,80,85,0.148
2023-11-22,89,86,0.161
2023-11-23,83,87,0.107
2023-11-24,82,92,0.119
2023-11-25,35,47,0.122
2023-11-26,44,49,0.109
2023-11-27,90,91,0.198
2023-11-28,84,86,0.167
2023-11-29,88,91,0.145
2023-11-30,84,92,0.132
2023-12-01,83,85,0.16
2023-12-02,37,46,0.188
2023-12-03,41,48,0.125
2023-12-04,87,87,0.134
2023-12-05,80,93,0.107
2023-12-06,82,86,0.155
2023-12-07,86,89,0.161
2023-12-08,82,86,0.156
2023-12-09,44,45,0.144
2023-12-10,43,40,0.122
2023-12-11,80,91,0.162
2023-12-12,90,88,0.102
2023-12-13,87,88,0.132
2023-12-14,82,89,0.106
2023-12-15,84,91,0.114
2023-12-16,40,48,0.177
2023-12-17,44,40,0.128
2023-12-18,86,87,0.161
2023-12-19,86,85,0.106
2023-12-20,88,93,0.123
2023-12-21,84,88,0.165
2023-12-22,89,92,0.151
2023-12-23,36,41,0.175
2023-12-24,37,49,0.164
2023-12-25,87,87,0.132
2023-12-26,83,87,0.113
2023-12-27,85,85,0.199
2023-12-28,88,90,0.116
2023-12-29,88,86,0.149
2023-12-30,40,45,0.191
2023-12-31,45,45,0.128
2024-01-01,81,92,0.179
2024-01-02,85,85,0.126
2024-01-03,88,90,0.135
2024-01-04,84,93,0.147
2024-01-05,83,86,0.159
2024-01-06,35,49,0.146
2024-01-07,37,40,0.163
2024-01-08,90,91,0.188
2024-01-09,86,88,0.163
2024-01-10,87,88,0.113
2024-01-11,88,87,0.14
2024-01-12,88,94,0.175
2024-01-13,39,48,0.127
2024-01-14,45,46,0.104
2024-01-15,87,94,0.117
2024-01-16,85,91,0.19
2024-01-17,81,91,0.149
2024-01-18,80,85,0.101
2024-01-19,84,85,0.106
2024-01-20,35,41,0.154
2024-01-21,43,42,0.145
2024-01-22,89,90,0.175
2024-01-23,90,92,0.159
2024-01-24,82,92,0.122
2024-01-25,85,87,0.118
2024-01-26,90,92,0.141
2024-01-27,44,49,0.17
2024-01-28,44,42,0.161
2024-01-29,84,93,0.111
2024-01-30,89,89,0.173
2024-01-31,84,90,0.102
2024-02-01,87,90,0.179
2024-02-02,85,93,0.152
2024-02-03,38,49,0.145
2024-02-04,36,48,0.114
2024-02-05,90,86,0.101
2024-02-06,90,86,0.107
2024-02-07,86,85,0.167
2024-02-08,80,87,0.113
2024-02-09,83,91,0.194
2024-02-10,39,47,0.172
2024-02-11,44,47,0.149
2024-02-12,88,91,0.167
2024-02-13,86,87,0.14
2024-02-14,90,93,0.149
2024-02-15,86,85,0.178
2024-02-16,83,91,0.112
2024-02-17,39,46,0.118
2024-02-18,40,49,0.159
2024-02-19,86,90,0.141
2024-02-20,80,94,0.175
2024-02-21,88,91,0.136
2024-02-22,89,93,0.111
2024-02-23,86,86,0.192
2024-02-24,41,46,0.184
2024-02-25,44,41,0.131
2024-02-26,83,87,0.166
2024-02-27,90,92,0.178
2024-02-28,82,94,0.199
2024-02-29,88,85,0.195
2024-03-01,87,94,0.188
2024-03-02,43,42,0.155
2024-03-03,37,44,0.172
2024-03-04,86,94,0.125
2024-03-05,83,91,0.182
2024-03-06,90,94,0.111
2024-03-07,81,90,0.173
2024-03-08,88,91,0.12
2024-03-09,36,43,0.127
2024-03-10,39,41,0.128
2024-03-11,83,90,0.147
2024-03-12,88,89,0.165
2024-03-13,81,88,0.133
2024-03-14,83,90,0.134
2024-03-15,83,94,0.129
2024-03-16,39,43,0.142
2024-03-17,37,44,0.107
2024-03-18,85,88,0.165
2024-03-19,86,93,0.149
2024-03-20,85,90,0.123
2024-03-21,83,89,0.192
2024-03-22,84,92,0.134
2024-03-23,44,49,0.153
2024-03-24,42,48,0.139
2024-03-25,83,92,0.155
2024-03-26,80,90,0.106
2024-03-27,88,85,0.162
2024-03-28,86,87,0.13
2024-03-29,87,93,0.182
2024-03-30,40,49,0.165
2024-03-31,40,48,0.133
2024-04-01,81,90,0.189
2024-04-02,85,90,0.176
2024-04-03,86,93,0.139
2024-04-04,89,93,0.183
2024-04-05,85,92,0.151
2024-04-06,37,49,0.164
2024-04-07,39,46,0.144
2024-04-08,83,87,0.11
2024-04-09,81,85,0.119
2024-04-10,80,90,0.164
2024-04-11,90,89,0.175
2024-04-12,83,89,0.153
2024-04-13,36,45,0.15
2024-04-14,43,40,0.126
2024-04-15,87,92,0.134
2024-04-16,87,94,0.175
2024-04-17,80,87,0.171
2024-04-18,81,88,0.154
2024-04-19,90,90,0.197
2024-04-20,39,44,0.154
2024-04-21,41,48,0.153
2024-04-22,81,85,0.109
2024-04-23,89,90,0.184
2024-04-24,83,87,0.13
2024-04-25,81,86,0.114
2024-04-26,80,90,0.106
2024-04-27,39,49,0.185
2024-04-28,43,48,0.164
2024-04-29,89,94,0.176
2024-04-30,87,92,0.169
2024-05-01,89,85,0.141
2024-05-02,86,86,0.13
2024-05-03,88,89,0.12
2024-05-04,39,47,0.132
2024-05-05,39,44,0.109
2024-05-06,88,86,0.12
2024-05-07,84,85,0.121
2024-05-08,82,92,0.148
2024-05-09,83,94,0.177
2024-05-10,82,85,0.111
2024-05-11,36,44,0.184
2024-05-12,45,48,0.158
2024-05-13,87,86,0.171
2024-05-14,82,94,0.119
2024-05-15,85,88,0.181
2024-05-16,82,92,0.163
2024-05-17,85,89,0.158
2024-05-18,41,42,0.153
2024-05-19,41,44,0.152
2024-05-20,84,90,0.124
2024-05-21,82,88,0.135
2024-05-22,89,86,0.193
2024-05-23,83,86,0.189
2024-05-24,86,89,0.194
2024-05-25,43,44,0.162
2024-05-26,35,40,0.182
2024-05-27,86,87,0.172
2024-05-28,90,91,0.124
2024-05-29,80,86,0.11
2024-05-30,84,93,0.164
2024-05-31,81,89,0.159
2024-06-01,43,47,0.195
2024-06-02,36,43,0.163
2024-06-03,83,91,0.103
2024-06-04,88,89,0.195
2024-06-05,90,87,0.106
2024-06-06,85,90,0.16
2024-06-07,90,91,0.172
2024-06-08,44,48,0.154
2024-06-09,35,42,0.135
2024-06-10,90,90,0.132
2024-06-11,85,93,0.161
2024-06-12,80,85,0.156
2024-06-13,87,93,0.103
2024-06-14,85,93,0.177
2024-06-15,38,41,0.164
2024-06-16,35,46,0.167
2024-06-17,86,88,0.185
2024-06-18,84,86,0.126
2024-06-19,89,93,0.162
2024-06-20,90,86,0.188
2024-06-21,87,89,0.153
2024-06-22,40,47,0.193
2024-06-23,35,48,0.132
2024-06-24,80,92,0.102
2024-06-25,88,90,0.12
2024-06-26,89,93,0.151
2024-06-27,83,89,0.174
2024-06-28,89,86,0.186
2024-06-29,43,46,0.19
2024-06-30,45,46,0.142
2024-07-01,83,93,0.184
2024-07-02,90,92,0.131
2024-07-03,82,93,0.174
2024-07-04,82,90,0.131
2024-07-05,83,86,0.187
2024-07-06,37,44,0.184
2024-07-07,44,43,0.175
2024-07-08,90,85,0.131
2024-07-09,89,87,0.171
2024-07-10,81,91,0.165
2024-07-11,80,91,0.112
2024-07-12,80,89,0.115
2024-07-13,42,43,0.128
2024-07-14,35,47,0.113
2024-07-15,87,88,0.138
2024-07-16,89,86,0.144
2024-07-17,85,92,0.183
2024-07-18,82,86,0.122
